Date,SPY
1999-09-29,80.89599609375
1999-09-30,82.13189697265625
1999-10-01,81.95247650146484
1999-10-04,83.40776062011719
1999-10-05,83.3280029296875
1999-10-06,84.60388946533203
1999-10-07,84.12539672851562
1999-10-08,85.40125274658203
1999-10-11,85.26168823242188
1999-10-12,83.94597625732422
1999-10-13,81.77310180664062
1999-10-14,81.75315856933594
1999-10-15,79.65997314453125
1999-10-18,80.23809814453125
1999-10-19,81.01557922363281
1999-10-20,81.81295013427734
1999-10-21,82.29138946533203
1999-10-22,82.9891357421875
1999-10-25,82.57049560546875
1999-10-26,81.53388977050781
1999-10-27,83.00904846191406
1999-10-28,85.83981323242188
1999-10-29,87.39474487304688
1999-11-01,86.47772979736328
1999-11-02,85.8597640991211
1999-11-03,86.43788146972656
1999-11-04,87.09571075439453
